item	grupo	camada_mocha	candidatos_pacman	instalado_pacman	disponivel_repo_oficial	disponivel_aur	flatpak_appid	flatpak_status	detalhe_pacman_aur	observacao
Mesa Utils	diagnostico	PADRAO	mesa-utils	sim	sim	nao		SEM_APPID_MAPEADO	mesa-utils=instalado+repo	Diagnóstico OpenGL.
Piper	perifericos	PADRAO	piper	nao	sim	nao		SEM_APPID_MAPEADO	piper=repo	Configuração de mouse gamer via libratbag/ratbagd.
libratbag	perifericos	PADRAO	libratbag	nao	sim	nao		SEM_APPID_MAPEADO	libratbag=repo	Backend do Piper para mouse gamer.
Input Remapper	perifericos	PADRAO	input-remapper	nao	nao	sim	io.github.sezanzeb.input_remapper	NAO_ENCONTRADO_FLATHUB_OU_SEM_REDE	input-remapper=AUR_DISPONIVEL	Remapeamento de mouse, teclado, controle e periféricos; útil no Wayland.
Oversteer	perifericos	PADRAO	oversteer	nao	nao	sim		SEM_APPID_MAPEADO	oversteer=AUR_DISPONIVEL	Gerenciamento de volantes suportados no Linux.
AntiMicroX	perifericos	DISPONIVEL	antimicrox	nao	sim	nao		SEM_APPID_MAPEADO	antimicrox=repo	Mapeador de controle/teclado útil para jogos antigos.
jstest-gtk	perifericos	DISPONIVEL	jstest-gtk	nao	nao	nao		SEM_APPID_MAPEADO	jstest-gtk=NAO_ENCONTRADO_AUR	Teste/calibração de joystick.
vkBasalt	visual-opcional	DISPONIVEL_SEM_ATIVAR	vkbasalt vkbasalt-git	nao	nao	sim		SEM_APPID_MAPEADO	vkbasalt=AUR_DISPONIVEL; vkbasalt-git=AUR_DISPONIVEL	Pode ficar disponível, mas não entra no wrapper oficial por padrão.
vkBasalt CLI	visual-opcional	DISPONIVEL_SEM_ATIVAR	vkbasalt-cli	nao	nao	sim		SEM_APPID_MAPEADO	vkbasalt-cli=AUR_DISPONIVEL	Ferramenta complementar se existir no repo usado.
ReShade Shaders	visual-opcional	DISPONIVEL_SEM_ATIVAR	reshade-shaders	nao	nao	nao		SEM_APPID_MAPEADO	reshade-shaders=NAO_ENCONTRADO_AUR	Shaders opcionais para usuário avançado.
LACT	energia-gpu	CANDIDATO_AUDITAR	lact lact-git	nao	sim	sim		SEM_APPID_MAPEADO	lact=repo; lact-git=AUR_DISPONIVEL	Controle de GPU; precisa validação por hardware e serviço antes de virar padrão.
CoreCtrl	energia-gpu	CANDIDATO_AUDITAR	corectrl	nao	sim	nao		SEM_APPID_MAPEADO	corectrl=repo	Útil sobretudo para AMD; não substituir política NVIDIA atual sem teste.
OBS Studio	criacao	PADRAO	obs-studio	nao	sim	nao	com.obsproject.Studio	FLATHUB_DISPONIVEL	obs-studio=repo	Gravação/streaming; comum em distro gamer/criador.
GPU Screen Recorder	criacao	DISPONIVEL	gpu-screen-recorder gpu-screen-recorder-gtk	nao	sim	sim	com.dec05eba.gpu_screen_recorder	FLATHUB_DISPONIVEL	gpu-screen-recorder=repo; gpu-screen-recorder-gtk=AUR_DISPONIVEL	Gravação leve; validar com NVIDIA/Wayland antes de padrão final.
Bottles	launcher	DISPONIVEL	bottles	nao	nao	sim	com.usebottles.bottles	FLATHUB_DISPONIVEL	bottles=AUR_DISPONIVEL	Wine apps/jogos; bom disponível, mas pode ficar Flatpak.
Faugus Launcher	launcher	CANDIDATO_AUDITAR	faugus-launcher faugus-launcher-bin	nao	nao	sim		SEM_APPID_MAPEADO	faugus-launcher=AUR_DISPONIVEL; faugus-launcher-bin=NAO_ENCONTRADO_AUR	Candidato visto em GLF; auditar maturidade antes de padrão.
